Database Name	New PC
Database Location	http://harmony-pc/ODA/OdaService.asmx
Evaluation Signature	763b7274-8d0e-4620-8276-18f03e1fe3f7
Plate Name	7.13.23_Plate 1_IPC298
Measurement	Measurement 1
Evaluation	Evaluation2

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Nuclei - Intensity Cell Alexa 647 Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	476	1982.40887411	20	0	0					
1	2	1	0	648	1937.17762894	20	0	0					
1	3	1	0	637	2118.53840035	20	0	0					
1	4	1	0	695	2134.15261652	20	0	0					
1	5	1	0	814	2153.42036826	20	0	0					
1	6	1	0	687	2133.33595723	20	0	0					
1	7	1	0	802	2250.62115533	20	0	0					
1	8	1	0	729	2133.13674079	20	0	0					
1	9	1	0	708	2051.35033989	20	0	0					
1	10	1	0	582	2291.4722074	20	0	0					
1	11	1	0	408	2188.96682938	20	0	0					
1	12	1	0	397	2250.57544023	20	0	0					
2	1	1	0	512	370.636771139	20	0	0					
2	2	1	0	586	362.756387552	20	0	0					
2	3	1	0	651	360.517712166	20	0	0					
2	4	1	0	552	395.179870437	20	0	0					
2	5	1	0	458	444.767258244	20	0	0					
2	6	1	0	642	556.102767446	20	0	0					
2	7	1	0	690	653.831768498	20	0	0					
2	8	1	0	673	541.086632193	20	0	0					
2	9	1	0	617	420.088253205	20	0	0					
2	10	1	0	556	371.815027296	20	0	0					
2	11	1	0	435	346.696686721	20	0	0					
2	12	1	0	686	357.579118392	20	0	0					
3	1	1	0	567	344.787257032	20	0	0					
3	2	1	0	592	379.48781575	20	0	0					
3	3	1	0	628	380.916557232	20	0	0					
3	4	1	0	624	460.881978459	20	0	0					
3	5	1	0	674	663.200294709	20	0	0					
3	6	1	0	767	903.086620339	20	0	0					
3	7	1	0	916	1306.66609507	20	0	0					
3	8	1	0	905	945.333609738	20	0	0					
3	9	1	0	573	560.701014454	20	0	0					
3	10	1	0	792	407.093500235	20	0	0					
3	11	1	0	579	357.369064686	20	0	0					
3	12	1	0	655	356.929365935	20	0	0					
4	1	1	0	539	357.142493528	20	0	0					
4	2	1	0	578	372.931903022	20	0	0					
4	3	1	0	728	412.872753654	20	0	0					
4	4	1	0	871	597.796877334	20	0	0					
4	5	1	0	849	1014.96590693	20	0	0					
4	6	1	0	894	1751.49019812	20	0	0					
4	7	1	0	987	2296.06001604	20	0	0					
4	8	1	0	1001	1726.41203654	20	0	0					
4	9	1	0	983	939.032019325	20	0	0					
4	10	1	0	744	498.0854778	20	0	0					
4	11	1	0	606	368.725307484	20	0	0					
4	12	1	0	685	337.522607758	20	0	0					
5	1	1	0	666	344.936715528	20	0	0					
5	2	1	0	636	362.651117155	20	0	0					
5	3	1	0	818	469.862244241	20	0	0					
5	4	1	0	893	853.01004483	20	0	0					
5	5	1	0	820	2025.70312433	20	0	0					
5	6	1	0	755	2831.95476962	20	0	0					
5	7	1	0	682	3386.9761671	20	0	0					
5	8	1	0	915	2830.74353654	20	0	0					
5	9	1	0	1202	1705.18588148	20	0	0					
5	10	1	0	910	667.849632066	20	0	0					
5	11	1	0	573	402.96105186	20	0	0					
5	12	1	0	583	342.472252059	20	0	0					
6	1	1	0	609	353.998216029	20	0	0					
6	2	1	0	696	405.202197876	20	0	0					
6	3	1	0	786	621.022891323	20	0	0					
6	4	1	0	914	1726.36877036	20	0	0					
6	5	1	0	791	3120.58954713	20	0	0					
6	6	1	0	857	4217.52361661	20	0	0					
6	7	1	0	598	4258.41842485	20	0	0					
6	8	1	0	608	3502.43495401	20	0	0					
6	9	1	0	1002	2518.00381252	20	0	0					
6	10	1	0	1060	1026.17237254	20	0	0					
6	11	1	0	628	481.086841312	20	0	0					
6	12	1	0	591	363.867891096	20	0	0					
7	1	1	0	589	365.344097597	20	0	0					
7	2	1	0	799	430.887661828	20	0	0					
7	3	1	0	751	609.91800981	20	0	0					
7	4	1	0	851	1402.72730146	20	0	0					
7	5	1	0	667	1969.59177014	20	0	0					
7	6	1	0	856	2386.96834217	20	0	0					
7	7	1	0	521	2146.38717286	20	0	0					
7	8	1	0	703	2041.74563421	20	0	0					
7	9	1	0	1094	1658.51243704	20	0	0					
7	10	1	0	923	822.4860112	20	0	0					
7	11	1	0	866	472.048965449	20	0	0					
7	12	1	0	492	373.72068904	20	0	0					
8	1	1	0	560	1884.48309394	20	0	0					
8	2	1	0	519	2310.40721803	20	0	0					
8	3	1	0	566	2045.29729749	20	0	0					
8	4	1	0	677	2225.95718635	20	0	0					
8	5	1	0	511	2013.93366374	20	0	0					
8	6	1	0	625	2061.72960018	20	0	0					
8	7	1	0	540	2032.13670715	20	0	0					
8	8	1	0	562	2185.81481207	20	0	0					
8	9	1	0	677	2138.83496846	20	0	0					
8	10	1	0	682	1998.5107938	20	0	0					
8	11	1	0	646	2045.21747314	20	0	0					
8	12	1	0	579	1912.53726315	20	0	0					
