Database Name	New PC
Database Location	http://harmony-pc/ODA/OdaService.asmx
Evaluation Signature	d1bcb11d-e30d-4bc9-a4ce-eca6c3c63f60
Plate Name	7.13.23_Plate 1_A375
Measurement	Measurement 1
Evaluation	Evaluation3

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Nuclei - Intensity Cell Alexa 647 Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
1	1	1	0	1956	1174.43501865	20	0	0					
1	2	1	0	1707	1286.32832819	20	0	0					
1	3	1	0	1708	1295.39932488	20	0	0					
1	4	1	0	1946	1193.7619343	20	0	0					
1	5	1	0	1912	1212.79886013	20	0	0					
1	6	1	0	1850	1245.99259754	20	0	0					
1	7	1	0	1805	1126.93069307	20	0	0					
1	8	1	0	1912	1317.65477551	20	0	0					
1	9	1	0	1763	1219.57679043	20	0	0					
1	10	1	0	1863	1241.55969675	20	0	0					
1	11	1	0	1700	1181.75173484	20	0	0					
1	12	1	0	1624	1037.98310078	20	0	0					
2	1	1	0	1364	311.222380573	20	0	0					
2	2	1	0	1414	306.481212676	20	0	0					
2	3	1	0	1479	309.936102068	20	0	0					
2	4	1	0	1548	303.989324623	20	0	0					
2	5	1	0	1385	351.282249239	20	0	0					
2	6	1	0	1562	340.665793577	20	0	0					
2	7	1	0	1638	355.884759011	20	0	0					
2	8	1	0	1661	348.945604581	20	0	0					
2	9	1	0	1451	327.048652615	20	0	0					
2	10	1	0	1559	317.266486434	20	0	0					
2	11	1	0	1478	306.645185073	20	0	0					
2	12	1	0	1400	310.190717148	20	0	0					
3	1	1	0	1247	304.547713242	20	0	0					
3	2	1	0	1424	303.495878429	20	0	0					
3	3	1	0	1249	322.342676918	20	0	0					
3	4	1	0	1583	330.651052706	20	0	0					
3	5	1	0	1456	323.023598462	20	0	0					
3	6	1	0	1889	348.62894878	20	0	0					
3	7	1	0	1853	412.26221478	20	0	0					
3	8	1	0	1653	354.117047894	20	0	0					
3	9	1	0	1519	332.455132564	20	0	0					
3	10	1	0	1431	335.583949707	20	0	0					
3	11	1	0	1581	306.942193249	20	0	0					
3	12	1	0	1390	311.253218752	20	0	0					
4	1	1	0	1121	303.238049154	20	0	0					
4	2	1	0	1220	299.353894816	20	0	0					
4	3	1	0	1494	328.720865393	20	0	0					
4	4	1	0	1594	323.403203806	20	0	0					
4	5	1	0	1711	357.424023456	20	0	0					
4	6	1	0	1988	536.277917382	20	0	0					
4	7	1	0	1914	790.882757124	20	0	0					
4	8	1	0	1967	474.215908224	20	0	0					
4	9	1	0	1803	335.733549547	20	0	0					
4	10	1	0	1397	332.877807514	20	0	0					
4	11	1	0	1395	316.686349857	20	0	0					
4	12	1	0	1283	296.183070671	20	0	0					
5	1	1	0	1309	300.038335614	20	0	0					
5	2	1	0	1365	293.317692673	20	0	0					
5	3	1	0	1282	311.399068747	20	0	0					
5	4	1	0	1831	325.225353812	20	0	0					
5	5	1	0	2072	506.924900342	20	0	0					
5	6	1	0	2130	921.122898224	20	0	0					
5	7	1	0	1833	1154.97486892	20	0	0					
5	8	1	0	1996	647.251859544	20	0	0					
5	9	1	0	1983	358.473908986	20	0	0					
5	10	1	0	1504	325.354448813	20	0	0					
5	11	1	0	1589	315.453010694	20	0	0					
5	12	1	0	1295	301.662495745	20	0	0					
6	1	1	0	1324	294.632388063	20	0	0					
6	2	1	0	1483	321.7754387	20	0	0					
6	3	1	0	1681	322.777838691	20	0	0					
6	4	1	0	1765	341.751744647	20	0	0					
6	5	1	0	1762	592.214803282	20	0	0					
6	6	1	0	1885	1275.73142671	20	0	0					
6	7	1	0	1897	1229.38311003	20	0	0					
6	8	1	0	1886	680.055581364	20	0	0					
6	9	1	0	1884	373.643296762	20	0	0					
6	10	1	0	1440	336.844476459	20	0	0					
6	11	1	0	1464	339.877131334	20	0	0					
6	12	1	0	1629	306.49633618	20	0	0					
7	1	1	0	1267	309.500596129	20	0	0					
7	2	1	0	1426	325.121132551	20	0	0					
7	3	1	0	1440	348.083086609	20	0	0					
7	4	1	0	1808	351.709451635	20	0	0					
7	5	1	0	1703	653.493678076	20	0	0					
7	6	1	0	1893	1257.8851019	20	0	0					
7	7	1	0	1692	1162.16266411	20	0	0					
7	8	1	0	2187	763.00190155	20	0	0					
7	9	1	0	1745	393.834813657	20	0	0					
7	10	1	0	1478	335.529232722	20	0	0					
7	11	1	0	1335	343.979486911	20	0	0					
7	12	1	0	1331	314.139155336	20	0	0					
8	1	1	0	1667	1048.87528848	20	0	0					
8	2	1	0	1920	1186.63288132	20	0	0					
8	3	1	0	1821	1225.02518887	20	0	0					
8	4	1	0	1793	1271.02708749	20	0	0					
8	5	1	0	1849	1264.89718276	20	0	0					
8	6	1	0	1913	1328.88554004	20	0	0					
8	7	1	0	1852	1228.87401377	20	0	0					
8	8	1	0	1866	1242.96305767	20	0	0					
8	9	1	0	1681	1254.00733487	20	0	0					
8	10	1	0	1875	1183.45351986	20	0	0					
8	11	1	0	1729	1273.04315466	20	0	0					
8	12	1	0	1625	1037.90887441	20	0	0					
